"filename", "language", "PowerShell", "TypeScript", "Markdown", "MS SQL", "JSON with Comments", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\sales-distribution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\sales-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 4, 99
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\subscriber-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 4, 68
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 4, 16, 171
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\main-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\notification-bell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 830, 0, 0, 116, 946
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 400, 0, 8, 24, 432
"c:\Users\HP\Downloads\Main_Dashboard\components\providers\query-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\approval-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 1, 15, 167
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\image-gallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 1, 20, 156
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\md-grid-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 432, 0, 1, 27, 460
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\md-table-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 509, 0, 1, 45, 555
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\multi-stage-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 599, 0, 13, 38, 650
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\multiple-image-upload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 339, 0, 1, 43, 383
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\po-table-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 4, 25, 308
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\remarks-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 1, 10, 111
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage1-initial-submission.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 360, 0, 6, 26, 392
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage2-vendor-information.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 31, 294
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage3-ea-approval.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 4, 12, 185
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage3-md-approval.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 5, 13, 194
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage4-grn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 244, 0, 7, 20, 271
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage5-accounts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 305, 0, 3, 26, 334
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\workflow-card-theme.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\workflow-status-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 15, 248
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\workflow-timeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 7, 16, 219
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\access-control-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 3, 7, 51
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\data-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 9, 195
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\dynamic-row-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 320, 0, 16, 36, 372
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 1, 7, 104
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 80
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 6, 33
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 13, 121
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 18, 199
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 24, 169
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 5, 28
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 14, 159
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"c:\Users\HP\Downloads\Main_Dashboard\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 6, 27
"c:\Users\HP\Downloads\Main_Dashboard\config\env-config.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 42
"c:\Users\HP\Downloads\Main_Dashboard\context\sidebar-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\Users\HP\Downloads\Main_Dashboard\drizzle.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\HP\Downloads\Main_Dashboard\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"c:\Users\HP\Downloads\Main_Dashboard\features\dashboard\dashboard-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 4, 6, 126
"c:\Users\HP\Downloads\Main_Dashboard\features\kia\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 3310, 0, 31, 251, 3592
