Date : 2026-07-01 23:55:47
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 52 files,  4123 codes, 41 comments, 406 blanks, all 4570 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| lib\analytics                                                                                                             |          2 |         32 |          0 |          0 |         32 |
| lib\hooks                                                                                                                 |          1 |         17 |          0 |          5 |         22 |
| lib\hyundai                                                                                                               |          1 |         11 |          0 |          1 |         12 |
| lib\kia                                                                                                                   |          5 |      1,265 |          7 |        122 |      1,394 |
| lib\permissions                                                                                                           |          1 |          7 |          0 |          0 |          7 |
| lib\petty-cash                                                                                                            |          3 |         36 |          0 |          9 |         45 |
| lib\platinum                                                                                                              |          1 |         -5 |          0 |          0 |         -5 |
| scratch                                                                                                                   |          2 |         34 |          3 |          7 |         44 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                  | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\sahil\Downloads\am_group_main_dashboard\.agents\AGENTS.md                                                        | Markdown       |          2 |          0 |          2 |          4 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\freshness\route.ts            | TypeScript     |          7 |          0 |          0 |          7 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\open-ro\route.ts              | TypeScript     |         -8 |          0 |          0 |         -8 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\overview\route.ts             | TypeScript     |         -7 |          0 |         17 |         10 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\sot\route.ts                  | TypeScript     |        493 |          0 |         35 |        528 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\workshop-performance\route.ts | TypeScript     |          5 |          0 |         -1 |          4 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\actions\route.ts                  | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\route.ts                          | TypeScript     |          1 |          3 |          4 |          8 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts      | TypeScript     |        140 |          0 |          5 |        145 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\freshness\route.ts                       | TypeScript     |          7 |          0 |          1 |          8 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\reports\route.ts                         | TypeScript     |         21 |          0 |          3 |         24 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\summary\route.ts                         | TypeScript     |         12 |          0 |          2 |         14 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock-report\freshness\route.ts                       | TypeScript     |         39 |          0 |          8 |         47 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock-report\reports\route.ts                         | TypeScript     |         70 |          0 |         13 |         83 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\stock-report\summary\route.ts                         | TypeScript     |         41 |          0 |         10 |         51 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\freshness\route.ts           | TypeScript     |         -2 |          0 |          0 |         -2 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts             | TypeScript     |         -7 |          0 |         -1 |         -8 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\overview\route.ts            | TypeScript     |         -5 |          0 |          0 |         -5 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\actions\route.ts                 | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\route.ts                         | TypeScript     |          1 |          3 |          4 |          8 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\route.ts                                              | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\[report]\page.tsx                     | TypeScript JSX |         -4 |          0 |         -2 |         -6 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\page.tsx                              | TypeScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\sales-report\page.tsx                                     | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\sales-report\sales-report-client.tsx                      | TypeScript JSX |        509 |         15 |         31 |        555 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\stock-report\loading.tsx                                  | TypeScript JSX |         16 |          0 |          2 |         18 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\stock-report\page.tsx                                     | TypeScript JSX |         25 |          0 |          6 |         31 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\stock-report\stock-report-client.tsx                      | TypeScript JSX |        882 |         10 |         64 |        956 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\petty-cash\page.tsx                                                  | TypeScript JSX |        223 |          0 |         18 |        241 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\sidebar.tsx                                            | TypeScript JSX |         72 |          0 |         15 |         87 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\business-excellence-page.tsx                            | TypeScript JSX |         -4 |          0 |          1 |         -3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\sot-analysis-section.tsx                                | TypeScript JSX |          1 |          0 |          1 |          2 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\business-excellence-page.tsx                                | TypeScript JSX |        156 |          0 |         17 |        173 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\business-excellence-page.tsx                           | TypeScript JSX |         -5 |          0 |          1 |         -4 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\sot-analysis-section.tsx                               | TypeScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\table-columns.ts                                           | TypeScript     |         19 |          0 |          0 |         19 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\table-exists.ts                                            | TypeScript     |         13 |          0 |          0 |         13 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hooks\use-user-preferences.ts                                        | TypeScript     |         17 |          0 |          5 |         22 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence-operations.ts                            | TypeScript     |         11 |          0 |          1 |         12 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\sales-report-types.ts                                            | TypeScript     |         12 |          0 |          0 |         12 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\sales-report.ts                                                  | TypeScript     |        400 |          5 |         58 |        463 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\service-dashboard-export.ts                                      | TypeScript     |         60 |          0 |          3 |         63 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\stock-report-types.ts                                            | TypeScript     |        117 |          0 |         11 |        128 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\stock-report.ts                                                  | TypeScript     |        676 |          2 |         50 |        728 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\permissions\registry.ts                                              | TypeScript     |          7 |          0 |          0 |          7 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\petty-cash\access.ts                                                 | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\petty-cash\constants.ts                                              | TypeScript     |         22 |          0 |          6 |         28 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\petty-cash\server.ts                                                 | TypeScript     |         13 |          0 |          2 |         15 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\service-dashboard-export.ts                                 | TypeScript     |         -5 |          0 |          0 |         -5 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\inspect-unique-values.js                                         | JavaScript     |         14 |          3 |          3 |         20 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\inspect-unique-values.ts                                         | TypeScript     |         20 |          0 |          4 |         24 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\tmp-inspect-uploads.ts                                                   | TypeScript     |         17 |          0 |          3 |         20 |
| Total                                                                                                                     |                |      4,123 |         41 |        406 |      4,570 |
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
